user_name,movie_id,rating
brucemiddlemissphotography,1,8
jackransom-69832,1,8
jackransom-69832,576,7
jtindahouse,1,8
jtindahouse,38,9
jtindahouse,40,7
jtindahouse,73,6
jtindahouse,141,8
jtindahouse,160,8
jtindahouse,205,5
jtindahouse,323,6
jtindahouse,338,8
jtindahouse,359,3
jtindahouse,363,8
jtindahouse,385,7
jtindahouse,446,9
jtindahouse,532,6
jtindahouse,576,7
jtindahouse,631,6
jtindahouse,640,3
jtindahouse,794,4
jtindahouse,795,7
jtindahouse,801,5
jtindahouse,852,7
jtindahouse,861,9
jtindahouse,946,8
pkilic-72602,1,7
markdrakedev,1,6
noedubrulle,1,9
isaacsundaralingam,1,7
isaacsundaralingam,292,3
isaacsundaralingam,1018,4
essens-35641,1,9
sbweightman,1,7
sbweightman,26,8
sbweightman,32,6
sbweightman,188,2
sbweightman,625,6
sbweightman,626,7
sbweightman,654,7
sbweightman,893,2
sbweightman,1004,6
sbweightman,1030,6
cthirlby,1,8
fLick-IX,1,5
fLick-IX,3,2
fLick-IX,687,1
michvanbeek,1,7
michvanbeek,139,7
michvanbeek,673,4
imseeg,1,6
imseeg,91,8
imseeg,103,3
imseeg,111,7
imseeg,125,4
imseeg,193,4
imseeg,214,6
imseeg,220,4
imseeg,242,4
imseeg,275,6
imseeg,355,6
imseeg,426,4
imseeg,440,5
imseeg,444,5
imseeg,485,6
imseeg,508,4
imseeg,580,6
imseeg,615,7
imseeg,632,3
imseeg,640,5
imseeg,731,7
imseeg,817,7
imseeg,821,4
imseeg,897,8
imseeg,919,4
hanrured,1,10
ta-98251,1,6
ta-98251,106,8
ta-98251,155,6
ta-98251,218,8
ta-98251,825,7
marwinsingh-30063,1,8
nizarsalim,1,7
yvngcurls,1,10
chrissitumeang,1,7
joshcook-55755,1,4
frowenevan,1,7
jethro-17881,2,7
alwinsup,2,7
alwinsup,818,6
masonsaul,2,9
masonsaul,4,8
masonsaul,22,7
masonsaul,26,7
masonsaul,32,8
masonsaul,34,7
masonsaul,37,10
masonsaul,43,7
masonsaul,59,6
masonsaul,71,10
masonsaul,74,7
masonsaul,103,7
masonsaul,105,7
masonsaul,124,7
masonsaul,139,7
masonsaul,175,6
masonsaul,180,9
masonsaul,184,10
masonsaul,185,6
masonsaul,214,7
masonsaul,218,9
masonsaul,220,7
masonsaul,227,8
masonsaul,253,10
masonsaul,310,7
masonsaul,321,8
masonsaul,350,9
masonsaul,361,8
masonsaul,378,7
masonsaul,398,8
masonsaul,408,7
masonsaul,410,9
masonsaul,420,8
masonsaul,443,6
masonsaul,456,7
masonsaul,478,7
masonsaul,499,8
masonsaul,504,9
masonsaul,534,7
masonsaul,535,10
masonsaul,547,7
masonsaul,554,7
masonsaul,566,6
masonsaul,574,7
masonsaul,607,10
masonsaul,626,8
masonsaul,633,9
masonsaul,669,6
masonsaul,681,8
masonsaul,702,6
masonsaul,822,6
masonsaul,836,6
masonsaul,875,6
masonsaul,981,7
masonsaul,994,7
masonsaul,1016,8
kanhalangsycamden,2,9
jinxedmihai,2,9
jinxedmihai,16,4
Ratingzzz,2,9
Ratingzzz,61,10
Ratingzzz,216,7
ZeroDucks,2,6
shamileliyev,2,9
dam-24421,2,9
dam-24421,9,8
dam-24421,26,1
johannes-stal,2,6
dobberen,2,10
and_mikkelsen,2,8
and_mikkelsen,7,10
and_mikkelsen,160,7
and_mikkelsen,688,8
and_mikkelsen,937,8
cdjh-81125,2,8
cdjh-81125,103,4
cdjh-81125,218,6
cdjh-81125,245,6
cdjh-81125,626,6
kmkevinn-64733,2,10
kmkevinn-64733,26,6
kmkevinn-64733,326,6
kmkevinn-64733,454,6
damianphelps,2,9
damianphelps,24,7
damianphelps,159,8
damianphelps,201,6
damianphelps,303,7
damianphelps,475,7
damianphelps,478,7
damianphelps,486,6
damianphelps,507,7
damianphelps,537,7
damianphelps,544,9
damianphelps,561,7
damianphelps,577,7
damianphelps,676,7
damianphelps,721,7
damianphelps,735,7
damianphelps,801,8
damianphelps,812,7
damianphelps,846,7
damianphelps,873,7
damianphelps,1001,6
damianphelps,1003,7
an1h0ny,2,6
ryanjohnsoniowa,2,10
im-aire,2,6
johnhall-57102,3,4
johnnychicago-75285,3,4
johnnychicago-75285,17,6
johnnychicago-75285,21,4
malbuquerque-66863,3,5
dlarsen74,3,1
donnysilva,3,2
EmsFather,3,1
whitetowel-74786,3,3
whitetowel-74786,954,2
Shadyzar,3,6
keikoyoshikawa,3,2
keikoyoshikawa,633,6
brian-murphy-833-482109,3,8
cclintrun,3,6
handerson-76440,3,1
kevski-98705,3,2
lbz_1979,3,2
lbz_1979,188,2
texasbooty,3,2
greatwdc,3,6
hubi-7,3,1
drpryorjohnson,3,8
yorugol,3,7
mbdinger,3,5
mrofficial34,3,1
FeastMode,4,7
FeastMode,26,3
FeastMode,32,4
FeastMode,40,8
FeastMode,41,6
FeastMode,42,5
FeastMode,49,7
FeastMode,74,7
FeastMode,77,9
FeastMode,81,7
FeastMode,92,7
FeastMode,103,5
FeastMode,125,7
FeastMode,134,7
FeastMode,137,8
FeastMode,139,6
FeastMode,154,8
FeastMode,173,3
FeastMode,185,7
FeastMode,193,5
FeastMode,203,5
FeastMode,214,3
FeastMode,219,7
FeastMode,241,5
FeastMode,265,7
FeastMode,292,7
FeastMode,301,2
FeastMode,341,2
FeastMode,350,7
FeastMode,385,8
FeastMode,420,5
FeastMode,485,5
FeastMode,497,7
FeastMode,534,6
FeastMode,541,7
FeastMode,543,6
FeastMode,546,7
FeastMode,566,7
FeastMode,591,7
FeastMode,610,6
FeastMode,626,6
FeastMode,629,7
FeastMode,654,5
FeastMode,660,5
FeastMode,681,4
FeastMode,752,1
FeastMode,818,7
FeastMode,888,7
FeastMode,905,7
FeastMode,966,7
FeastMode,1008,7
FeastMode,1018,3
eziukwuuprightness,4,7
timothywalton-31924,4,6
timothywalton-31924,260,6
timothywalton-31924,633,6
timothywalton-31924,809,7
giorgioglobe,4,6
lunamercury23,4,6
kobrasec,4,9
kobrasec,621,10
iamianiman,4,7
iamianiman,42,7
iamianiman,95,9
iamianiman,103,3
iamianiman,171,6
iamianiman,182,8
iamianiman,301,2
iamianiman,424,6
iamianiman,783,6
leobarrera,4,6
chappy-69103,4,10
elizabethmilojevic,4,2
sgasioro,4,6
barvo_k,4,7
Kingslaay,4,6
Kingslaay,89,7
Kingslaay,520,8
Kingslaay,682,7
Kingslaay,782,7
Geekofriendly,4,8
Prismark10,4,6
Prismark10,11,7
Prismark10,57,10
Prismark10,88,7
Prismark10,160,5
Prismark10,205,7
Prismark10,215,7
Prismark10,239,7
Prismark10,279,7
Prismark10,284,3
Prismark10,287,6
Prismark10,299,9
Prismark10,333,3
Prismark10,334,8
Prismark10,335,6
Prismark10,342,7
Prismark10,367,4
Prismark10,402,7
Prismark10,432,4
Prismark10,479,3
Prismark10,557,7
Prismark10,562,6
Prismark10,589,6
Prismark10,611,6
Prismark10,620,6
Prismark10,632,3
Prismark10,679,4
Prismark10,770,6
Prismark10,785,7
Prismark10,799,5
Prismark10,800,6
Prismark10,848,4
Prismark10,860,5
Prismark10,870,7
Prismark10,884,6
Prismark10,886,4
Prismark10,890,6
Prismark10,915,6
Prismark10,954,5
Prismark10,963,7
Prismark10,1003,8
Prismark10,1024,4
nina-matzat,4,8
leonardooliva-16135,4,7
djbitz9,4,8
comps-784-38265,4,6
comps-784-38265,139,6
comps-784-38265,195,1
comps-784-38265,303,7
comps-784-38265,907,7
comps-784-38265,953,7
reginaguy,4,1
jatstar-112-883891,5,6
TreeFiddy53,5,6
TreeFiddy53,55,8
TreeFiddy53,177,6
TreeFiddy53,355,6
TreeFiddy53,404,7
TreeFiddy53,994,5
dfdwdn,5,6
Otte1,5,3
Otte1,483,3
Otte1,723,4
Otte1,958,3
Otte1,1019,4
Otte1,1033,3
greyKbarclay,5,6
jesssfrankel,5,8
myignisrules,5,7
fredrickinps,5,4
Munzhedzi777,5,1
davidwalker-94471,5,6
davidwalker-94471,16,6
davidwalker-94471,385,7
januszlvii,5,7
aridala,5,4
banzoozalreviews,5,7
banzoozalreviews,26,8
banzoozalreviews,640,7
jordan_bel,5,5
jasongardner-97792,5,6
clarejoshua,6,6
ItsJonThompson,6,8
ItsJonThompson,802,7
mark-deckard-1967,6,9
ramair350,6,10
davejensen-97995,6,6
veronicadiall,6,1
